Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,63,63,35.9,11.0,23.0,.477,4.0,10.9,.368,6.9,12.1,.575,.564,7.9,10.1,.779,0.7,7.1,7.8,8.3,1.7,0.5,4.0,2.4,33.8,AS,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,64,64,33.5,10.8,19.6,.553,1.7,4.4,.382,9.1,15.2,.602,.596,8.3,9.4,.880,0.5,3.8,4.4,6.5,1.4,0.8,2.2,2.1,31.6,AS,gilgesh01
3,Anthony Edwards,24,MIN,SG,59,58,35.3,10.0,20.4,.493,3.4,8.5,.404,6.6,11.9,.556,.577,5.8,7.3,.797,0.6,4.5,5.1,3.7,1.4,0.8,2.8,1.9,29.3,AS,edwaran01
4,Tyrese Maxey,25,PHI,PG,64,64,38.4,10.1,21.8,.463,3.3,8.8,.370,6.8,13.0,.525,.537,5.4,6.1,.892,0.3,3.9,4.2,6.8,2.0,0.8,2.4,2.2,28.8,AS,maxeyty01
5,Jaylen Brown,29,BOS,SF,67,67,34.4,10.4,21.9,.476,2.0,5.7,.344,8.4,16.1,.523,.521,6.0,7.6,.794,1.2,5.9,7.0,5.3,1.0,0.4,3.6,2.7,28.8,AS,brownja02
6,Kawhi Leonard,34,LAC,SF,60,60,32.1,9.8,19.5,.503,2.6,6.9,.380,7.2,12.6,.570,.570,5.9,6.6,.899,1.1,5.3,6.4,3.6,2.0,0.5,2.1,1.2,28.1,AS,leonaka01
7,Donovan Mitchell,29,CLE,SG,67,67,33.4,9.6,20.0,.479,3.2,8.9,.363,6.4,11.1,.572,.560,5.3,6.1,.862,0.7,3.7,4.4,5.7,1.5,0.3,2.8,2.3,27.7,AS,mitchdo01
8,Nikola Jokić,30,DEN,C,61,61,34.9,9.9,17.3,.572,1.8,4.6,.387,8.1,12.7,.640,.624,6.1,7.3,.826,2.9,10.1,13.0,10.8,1.4,0.8,3.9,2.7,27.7,AS,jokicni01
9,Jalen Brunson,29,NYK,PG,70,70,35.0,9.3,20.0,.465,2.7,7.2,.371,6.6,12.8,.517,.531,4.8,5.8,.841,0.4,3.0,3.4,6.7,0.8,0.1,2.4,2.3,26.1,AS,brunsja01
10,Kevin Durant,37,HOU,SF,73,73,36.4,9.1,17.7,.517,2.4,5.8,.408,6.8,11.9,.570,.584,5.2,5.9,.877,0.5,4.9,5.4,4.7,0.8,0.9,3.2,1.8,25.8,AS,duranke01
11,Devin Booker,29,PHO,SG,60,60,33.3,8.5,18.5,.457,1.9,5.7,.327,6.6,12.8,.516,.508,7.0,8.1,.868,0.8,3.1,3.9,6.0,0.8,0.3,3.2,2.6,25.8,AS,bookede01
12,Jamal Murray,28,DEN,PG,72,72,35.2,8.8,18.3,.484,3.3,7.5,.434,5.6,10.8,.518,.573,4.7,5.3,.885,0.4,4.0,4.4,7.1,0.9,0.4,2.3,1.7,25.6,AS,murraja01
13,Victor Wembanyama,22,SAS,C,61,52,29.2,8.6,16.9,.509,1.9,5.5,.350,6.7,11.4,.586,.566,5.6,6.9,.823,2.0,9.4,11.5,3.0,1.0,3.1,2.5,2.5,24.7,AS,wembavi01
14,Cade Cunningham,24,DET,PG,61,61,34.4,8.7,18.9,.461,2.0,5.8,.346,6.7,13.1,.513,.515,5.1,6.2,.814,0.9,4.7,5.6,9.9,1.5,0.9,3.7,3.1,24.5,AS,cunnica01
15,Deni Avdija,25,POR,SF,61,61,33.1,7.3,15.9,.460,1.9,5.9,.318,5.4,10.0,.544,.519,7.4,9.2,.799,1.2,5.8,7.0,6.7,0.8,0.6,3.8,2.5,23.9,AS,avdijde01
16,Pascal Siakam,31,IND,PF,61,61,33.2,9.0,18.5,.483,1.7,4.7,.356,7.3,13.8,.526,.528,4.3,6.1,.693,1.4,5.2,6.6,3.8,1.1,0.4,2.2,2.4,23.9,AS,siakapa01
17,James Harden,36,2TM,PG,66,66,35.0,7.0,16.0,.434,3.0,8.2,.372,3.9,7.9,.499,.529,6.7,7.6,.881,0.6,4.3,4.9,8.1,1.1,0.4,3.5,2.0,23.7,,hardeja01
18,Jalen Johnson,24,ATL,SF,68,68,35.4,8.5,17.2,.493,1.7,4.8,.350,6.8,12.4,.548,.541,4.2,5.4,.786,1.4,8.9,10.3,8.1,1.3,0.5,3.4,2.1,22.8,AS,johnsja05
19,Paolo Banchero,23,ORL,PF,66,66,34.9,7.4,16.2,.457,1.2,3.9,.309,6.2,12.3,.505,.495,6.4,8.2,.781,1.2,7.2,8.3,5.1,0.7,0.6,3.0,2.0,22.4,,banchpa01
20,Norman Powell,32,MIA,SG,55,52,30.1,7.4,15.7,.473,2.7,7.1,.384,4.7,8.5,.547,.560,4.5,5.5,.825,0.4,3.2,3.6,2.6,1.1,0.3,1.9,2.3,22.1,AS,powelno01
21,Trey Murphy III,25,NOP,SF,64,64,35.5,7.5,16.0,.471,3.3,8.7,.383,4.2,7.3,.574,.574,3.3,3.8,.883,1.0,4.7,5.7,3.8,1.5,0.3,1.8,2.1,21.7,,murphtr02
22,Brandon Ingram,28,TOR,SF,71,71,34.0,8.0,16.9,.471,1.8,4.7,.374,6.2,12.2,.508,.523,3.7,4.6,.818,0.8,4.8,5.5,3.6,0.8,0.7,2.5,1.9,21.4,AS,ingrabr01
23,Zion Williamson,25,NOP,PF,59,52,29.7,8.0,13.2,.604,0.0,0.1,.250,7.9,13.1,.606,.605,5.4,7.5,.712,2.1,3.7,5.7,3.2,1.0,0.5,2.0,2.3,21.3,,willizi01
24,Julius Randle,31,MIN,PF,75,75,33.1,7.3,15.3,.477,1.4,4.4,.312,5.9,10.9,.543,.522,5.0,6.2,.809,1.7,5.1,6.8,5.1,1.1,0.2,2.7,2.9,21.0,,randlju01
25,LeBron James,41,LAL,SF,55,55,33.5,7.8,15.3,.512,1.3,4.1,.314,6.6,11.3,.583,.553,3.8,5.1,.744,0.8,5.2,6.0,7.0,1.1,0.6,3.0,1.4,20.7,AS,jamesle01
26,Alperen Şengün,23,HOU,C,67,67,33.5,8.1,15.7,.520,0.6,1.8,.320,7.6,13.9,.546,.539,3.7,5.4,.689,3.0,5.9,8.9,6.2,1.3,1.1,3.1,3.3,20.6,AS,sengual01
27,Nickeil Alexander-Walker,27,ATL,SG,74,67,33.2,6.9,15.2,.453,3.1,8.0,.394,3.8,7.2,.519,.556,3.6,4.0,.900,0.7,2.8,3.5,3.7,1.3,0.5,2.1,2.2,20.6,,alexani01
28,Brandon Miller,23,CHO,SF,59,59,30.2,7.0,16.1,.435,3.2,8.2,.390,3.8,7.9,.481,.534,3.2,3.6,.892,1.1,4.0,5.0,3.4,1.0,0.7,2.7,2.8,20.4,,millebr02
29,Cooper Flagg,19,DAL,SF,64,64,33.8,7.8,16.6,.467,0.9,3.4,.278,6.8,13.2,.516,.496,3.8,4.7,.812,1.2,5.4,6.6,4.5,1.2,0.9,2.4,2.1,20.3,,flaggco01
30,Bam Adebayo,28,MIA,C,68,68,32.3,7.0,15.9,.439,1.7,5.5,.315,5.2,10.4,.505,.494,4.6,5.9,.776,2.1,7.9,10.0,3.0,1.2,0.7,1.7,1.7,20.3,,adebaba01
31,Desmond Bane,27,ORL,SG,76,76,34.1,7.2,14.9,.484,2.0,5.3,.388,5.2,9.6,.536,.552,3.8,4.2,.921,1.2,2.9,4.1,4.2,1.0,0.4,2.0,3.1,20.3,,banede01
32,Karl-Anthony Towns,30,NYK,C,72,72,31.0,6.9,13.8,.496,1.5,4.1,.368,5.3,9.7,.550,.551,4.8,5.7,.855,3.2,8.7,11.9,2.9,0.8,0.5,2.5,3.4,20.1,AS,townska01
33,LaMelo Ball,24,CHO,PG,66,63,27.8,6.9,17.1,.402,3.7,10.0,.365,3.2,7.1,.455,.509,2.2,2.4,.894,0.9,4.0,4.8,7.1,1.2,0.2,2.8,2.7,19.6,,ballla01
34,Jalen Duren,22,DET,C,65,65,28.1,7.5,11.6,.647,0.0,0.0,,7.5,11.6,.647,.647,4.6,6.1,.749,3.8,6.8,10.6,1.8,0.8,0.9,1.8,2.8,19.5,AS,durenja01
35,Kon Knueppel,20,CHO,SF,75,74,31.5,6.4,13.4,.482,3.4,7.9,.431,3.0,5.4,.557,.610,2.5,2.9,.862,1.2,4.2,5.4,3.4,0.7,0.2,2.0,2.1,18.8,,knuepko01
36,CJ McCollum,34,2TM,PG,72,56,29.8,6.8,15.2,.452,2.5,6.7,.368,4.4,8.4,.519,.533,2.5,3.2,.773,0.8,2.5,3.3,3.8,0.8,0.4,1.8,1.9,18.6,,mccolcj01
37,DeMar DeRozan,36,SAC,PF,75,75,31.6,6.5,13.2,.493,0.6,1.9,.315,5.9,11.2,.524,.517,5.0,5.7,.868,0.5,2.5,3.0,4.1,1.0,0.3,1.3,2.0,18.6,,derozde01
38,Jerami Grant,31,POR,PF,57,38,29.7,5.8,12.8,.453,2.4,6.1,.389,3.4,6.7,.513,.547,4.6,5.6,.814,1.0,2.5,3.5,2.1,0.7,0.6,2.1,2.5,18.6,,grantje01
39,De'Aaron Fox,28,SAS,PG,66,66,30.9,7.0,14.4,.487,1.8,5.4,.337,5.2,9.0,.578,.551,2.7,3.5,.762,0.6,3.1,3.7,6.2,1.2,0.3,2.3,2.2,18.5,AS,foxde01
40,Scottie Barnes,24,TOR,PF,74,74,33.8,7.2,14.3,.503,0.9,2.9,.298,6.3,11.4,.556,.534,3.1,3.8,.812,1.9,5.7,7.6,5.9,1.4,1.5,2.7,2.8,18.3,AS,barnesc01
41,Evan Mobley,24,CLE,PF,61,59,32.1,7.2,13.3,.544,1.0,3.3,.302,6.2,10.0,.625,.582,2.8,4.5,.610,2.4,6.6,8.9,3.6,0.8,1.8,1.9,2.5,18.2,,mobleev01
42,Amen Thompson,23,HOU,PG,74,74,37.3,6.9,13.1,.524,0.3,1.5,.223,6.5,11.6,.563,.537,3.8,4.9,.781,3.0,4.8,7.8,5.3,1.5,0.6,2.4,2.2,17.9,,thompam01
43,Saddiq Bey,26,NOP,SF,69,61,31.1,6.0,13.2,.452,2.1,5.7,.366,3.9,7.6,.516,.531,3.4,4.0,.845,1.7,3.9,5.6,2.6,0.9,0.1,1.0,1.3,17.4,,beysa01
44,Ryan Rollins,23,MIL,PG,72,65,32.1,6.5,13.8,.470,2.5,6.1,.407,4.0,7.7,.521,.560,1.7,2.1,.788,0.7,3.9,4.6,5.6,1.5,0.4,2.7,2.6,17.1,,rolliry01
45,Miles Bridges,27,CHO,PF,71,71,31.3,6.2,13.7,.453,1.9,5.9,.323,4.3,7.8,.550,.522,2.8,3.4,.832,1.0,4.8,5.8,3.2,0.6,0.4,1.4,1.7,17.1,,bridgmi02
